Title,Author,Date,Excerpt
"Days after COP26 deal, oil producers angle to pump more",,"Nov 18, 2021","While the ink on which the climate change agreement was written has barely dried, oil producers gathered at a conference..."
Nigerians enrolment in US universities hits 3yr low,,"Nov 17, 2021","The number of Nigerian students seeking admission in US universities dipped by 6.5 percent in 2020/2021, the lowest in three..."
Pension funds embrace stocks as bond yields decline,,"Nov 17, 2021","Nigeria’s pension funds are finding solace in domestic stocks with N874 billion investments as of September 30, 2021, amid declining..."
Ibom Air to spend N138bn on 10 new A220 planes,,"Nov 17, 2021","At the cost of about N138 billion, Ibom Air, indigenous airline of Akwa Ibom State, on Monday placed an order..."
#EndSARS: Panel report resonates with Nigerians,,"Nov 17, 2021","Nigerians said yesterday that the judicial panel report on the Lekki Toll Gate #EndSARS protest resonates with them, as youths..."
e-Naira drawing interest from outside world – IMF,,"Nov 16, 2021",The International Monetary Fund (IMF) on Tuesday said the launch of e-Naira by the Central Bank of Nigeria (CBN) is...
MallforAfrica closure mirrors hurdle facing eCommerce in Nigeria,,"Nov 16, 2021","MallforAfrica, a Nigerian-owned platform that enables Nigerians to shop globally, recently shut down its business, bringing to spotlight the many..."
TeamApt’s unicorn march caps record year for Nigeria’s fintech,,"Nov 16, 2021","TeamApt is in the market to raise $150 million that would push its valuation to $1 billion, enabling it to..."
COVID-19 numbers seen spiking on Christmas travels,,"Nov 16, 2021","The influx of passengers in Christmas travels from various countries will cause a spike in COVID-19 cases in Nigeria, stakeholders..."
"Go over voting tech, logistics, experts tell INEC",,"Nov 16, 2021",The Independent National Electoral Commission (INEC) has been advised to go back to the drawing board on the Bimodal Voter...
NCC alerts users as hackers target telcos,,"Nov 15, 2021",The Nigerian Communications Commission (NCC) has urged companies and individuals to update their safety measures as the telecommunication services industry...
Afreximbank appointed Joint Lead Manager for Fidelity’s $400m Eurobond,,"Nov 15, 2021",African Export-Import Bank (Afreximbank) through its Advisory & Capital Markets (ACMA) investment banking arm acted as a Joint Lead Manager...
Nigeria makes case for war risk insurance reduction,,"Nov 15, 2021",Nigeria has continued to press for the lifting of the War Risk Insurance (WRI) imposed on vessels delivering goods and...
Lagos rekindles hope in rail system 38 years after conception,,"Nov 15, 2021","It has been 38 years since the idea for a rapid rail system was first conceived for Nigeria’s commercial capital,..."
Pan-Atlantic University names Enase Okonedo new vice-chancellor,,"Nov 14, 2021","The Board of Trustees of the Pan-Atlantic University Foundation has appointed Professor Enase Okonedo, as the new vice-chancellor of Pan-Atlantic..."
What Ikoyi building collapse means for housing stakeholders,,"Nov 14, 2021","Beyond the pain of loss inflicted on people whose loved ones were killed, the Gerard Road Ikoyi building collapse in..."
"2023: Might, not fairness, to determine parties' presidential tickets",,"Nov 14, 2021","The clamour for power shift in 2023 may not amount to anything, if the signs emanating from the two major..."
Wike accuses FG of ‘browbeating' the judiciary ahead of 2023,,"Nov 13, 2021",Governor Nyesom Wike of Rivers State sees recent developments as pointers that the Federal Government might be cowing the judiciary...
Ghana mobile money revenue offers clues to MTN Nigeria’s PSB expectation,,"Nov 12, 2021",The share of the mobile money market and the value of transactions controlled by MTN Ghana may have helped unravel...
Foreign investors prefer Nigerian banks’ Eurobonds to their stocks,,"Nov 12, 2021","Foreign investors can’t get enough of Nigerian banks’ Eurobonds but won’t touch their stocks with a ten-foot pole. First, it..."
Lagos streets turn outlets for fast food,,"Nov 12, 2021","In a bid to reach more customers and boost sales, fast food restaurants have turned Lagos streets into retail channels..."
Decarbonising shipping creates $1trn opportunity for developing nations,,"Nov 11, 2021",The World Bank has said that the reduction of carbon dioxide emissions through the use of low carbon power sources...
Quick Service Restaurants adopt ‘Sell-on-the-Go’ kiosks to drive sales,,"Nov 11, 2021",Some Quick Service Restaurants (QSRs) are setting up street kiosks as part of their marketing strategy to boost sales and...
Cheap Nigerian stocks get insiders’ attention,,"Nov 11, 2021","One of the greatest investors of all time, Peter Lynch, once said, “Insiders might sell their shares for a number..."
Soludo: Beyond the victory dance,,"Nov 11, 2021","For Charles Chukwuma Soludo of the All Progressive Grand Alliance (APGA), it is time for victory dance as victory songs..."
"Investors see impact opportunities in Nigeria’s agribusiness, power sectors",,"Nov 10, 2021",The need to feed the country’s large and growing population as well as provide jobs for the over 23 million...
What to know about the world’s four oldest universities,,"Nov 10, 2021","It is believed that university education was first located somewhere in the territories of ancient Greece or Europe, since some..."
Woodsmoke clouds Nigeria's carbon reduction plans after return to firewood,,"Nov 10, 2021",Nigerians have been lining up to buy Adunni Abdul’s moimoi – black-eyed peas steamed in leaves – for more than...
"MTN Nigeria, Airtel PSBs to create 1m direct jobs",,"Nov 10, 2021","Following the granting of approval in principle (AIP) by the Central Bank of Nigeria (CBN), MTN Nigeria and Airtel now..."
"Nigeria, 49 others pledge to end health sector emissions",,"Nov 09, 2021","One month after resident doctors in public hospitals across Nigeria called off a nine-week strike over poor pay, Nigeria has..."
Electoral Act ready for Buhari's assent in 7 days - Reps,,"Nov 09, 2021","The Electoral Amendment Bill will be transmitted to President Muhamadu Buhari for assent in the next seven days, spokesperson of..."
FG to float national housing bond to address housing deficit in Nigeria,,"Nov 09, 2021",The federal government has disclosed plans to float a National housing bond for real estate developers to address housing deficit...
Banks’ private sector credit up 32.81% in 3yrs,,"Nov 09, 2021","Nigerian Deposit Money Banks (DMBs) gave out the most credit worth N33.84 trillion to the private sector in September 2021,..."
How congestion in US ports affects Nigerians,,"Nov 09, 2021","Today in the United State of America there have been reported cases of protracted port congestion, especially in key hubs..."
Ikoyi building collapse: Dismembered body parts recovered - Eyewitnesses,,"Nov 08, 2021",Success Ndubuisi was sitting in one of the houses on the fifth floor of an Ikoyi residential apartment when she...
Nigerians pay most for food since 1999,,"Nov 08, 2021",Nigerians are paying the most for food under this administration than they have in the last 22 years (1999). No...
Streaming market keeps Nigerian artistes afloat amid constraints,,"Nov 08, 2021",The global music streaming market has been a gold discovery for many Nigerian music artists as it presents limitless opportunities...
Afrobeats pays Nigerian artistes as the world listens,,"Nov 08, 2021","Nearly 45 years after Fela Kuti debuted Zombie, the album that gave the world a new music genre, Afrobeat, a..."
Peep into 2022 budget reveals N227bn padding,,"Nov 08, 2021",Experts have called for the need to cut down frivolous and inappropriate estimates amounting to over N227 billion in the...
"Soludo in commanding lead, but results for two LGAs yet to come",,"Nov 07, 2021",Chukwuma Soludo candidate of APGA is winning in fourteen of the twenty one local governments in the Anambra state governorship...
"40m unbanked Nigerians to benefit from MTN, Airtel mobile money licenses",,"Nov 07, 2021","Estimated at over 40 million, Nigeria’s unbanked adult population who are mostly in the hard-to-reach rural communities are expected to..."
Bandits’ invasion of UniAbuja signals Nigerian varsities no longer ‘sacred’,,"Nov 07, 2021","If there is anybody to speak on how Nigerian universities are no longer scared, it is Aliyu Shugaba, a professor..."
Anambra election defies permutations,,"Nov 07, 2021",Against all permutations that the off-season Anambra gubernatorial election was going to be violence-ridden and that it would also record...
"Anambra guber: Impressive turnout of voters in Awka, Njikoka, Idemili LGAs",,"Nov 06, 2021",The Saturday governorship election in Anambra started generally peacefully with impressive turnout of voters in most of areas in Awka...
"MTN, Airtel mobile money licences to benefit 40m unbanked Nigerians",,"Nov 05, 2021","Nigeria’s unbanked adult population, estimated at over 40 million, are expected to have access to financial services with the regulatory..."
A tale of two biggest building collapses in Lagos,,"Nov 05, 2021","In 2008, a 22-storey building came down in rubbles in Lagos State, but no life was lost, no injury or..."
"Pressure on security agents, INEC for credible Anambra poll",,"Nov 05, 2021","With less than 24 hours to the gubernatorial election in Anambra State, the Independent National Electoral Commission (INEC) and the..."
